Vorname,Nachname,E-Mail,Straße,Postleitzahl,Ort,Land,Bundesland,Geburtsdatum,Geschlecht,Externe ID,Donor Type
Gretl,Stahr,riehloskar@example.org,Rene-Köhler-Straße 37-19,43955,Mettmann,Deutschland,Hessen,1996-04-09,Männlich,55,
Gunter,Rohleder,vollbrechtjaqueline@example.org,Seidelstr. 3,69013,Freital,Deutschland,Saarland,1953-10-19,Nichtbinär / Nonbinary,56,Monthly Donor
Evi,Schüler,bernd-dieterkruschwitz@example.net,Lehmannallee 54-25,99700,Mühlhausen,Deutschland,Bayern,1943-03-05,Nichtbinär / Nonbinary,57,One Time Donor
Hilde,Pohl,cordula05@example.net,Gerhild-Hahn-Gasse 45-33,21308,Melsungen,Deutschland,Rheinland-Pfalz,1997-11-12,Männlich,58,One Time Donor
Hans-Walter,Drewes,pauldrewes@example.com,Hildegund-Ullrich-Allee 5/6,79042,Duderstadt,Deutschland,Hessen,1938-04-03,Agender,59,
Heinfried,Henk,leopoldine03@example.net,Dippelring 3/2,07434,Koblenz,Deutschland,Niedersachsen,1974-10-27,Männlich,60,Monthly Donor
Maya,Köster,roehrichtmilos@example.net,Anica-Tröst-Weg 461,63202,Hammelburg,Deutschland,Saarland,1971-06-13,Männlich,61,
Kristiane,Döhn,selimkoester@example.net,Gotthardweg 7-8,71803,Zossen,Deutschland,Berlin,1942-04-02,Männlich,62,One Time Donor
Reni,Mitschke,schulzgreta@example.com,Klappring 25,22528,Saarlouis,Deutschland,Schleswig-Holstein,2004-03-16,Männlich,63,One Time Donor
Monika,Schuster,adolphivonne@example.org,Ricardo-Ernst-Weg 453,48605,Steinfurt,Deutschland,Berlin,1952-09-10,Weiblich,64,Past Donor
Lissi,Kramer,suessebierchrista@example.com,Rudi-Henschel-Allee 3726,05031,Bremervörde,Deutschland,Baden-Württemberg,1969-12-08,Weiblich,65,
Lucie,Trapp,rebecca64@example.net,Zoltan-Bonbach-Platz 7/3,92177,Gardelegen,Deutschland,Berlin,2002-02-28,Männlich,66,One Time Donor
Senta,Fröhlich,bchristoph@example.com,Emma-Schuster-Ring 6826,37414,Spremberg,Deutschland,Mecklenburg-Vorpommern,1934-08-06,Männlich,67,Past Donor
Guiseppe,Schmiedt,juri00@example.net,Waltraud-Weinhage-Weg 99/95,10608,Nauen,Deutschland,Brandenburg,1946-01-25,Männlich,68,
Ilja,Klingelhöfer,maike84@example.org,Karl-Jürgen-Hertrampf-Ring 55-46,03915,Lübben,Deutschland,Hessen,1950-03-21,Männlich,69,Past Donor
Ignatz,Jacobi Jäckel,xhess@example.org,Aneta-Segebahn-Weg 26-62,59070,Griesbach Rottal,Deutschland,Bayern,1932-06-21,Weiblich,70,One Time Donor
Nico,Wieloch,jdobes@example.com,Olaf-Mangold-Weg 2,06797,Waldmünchen,Deutschland,Hessen,1978-05-29,Männlich,71,
Janette,Dowerg,antoinettesontag@example.org,Kitzmannweg 667,80912,Beilngries,Deutschland,Mecklenburg-Vorpommern,1975-01-01,Weiblich,72,Past Donor
Brian,Reinhardt,erich68@example.com,Sölzerring 1763,28741,Nauen,Deutschland,Baden-Württemberg,1966-06-12,Nichtbinär / Nonbinary,73,Past Donor
Jonas,Rudolph,twende@example.net,Aumannplatz 2-7,02960,Rockenhausen,Deutschland,Bayern,1988-01-15,Weiblich,74,Monthly Donor
Louise,Schleich,evi42@example.com,Biggengasse 891,59139,Monschau,Deutschland,Thüringen,1972-02-27,Weiblich,75,Monthly Donor
Lieschen,Schmidtke,galbers@example.com,Isa-Hellwig-Ring 91/85,29193,Pritzwalk,Deutschland,Hamburg,1929-01-23,Männlich,76,Past Donor
Constance,Röhricht,fsoeding@example.net,Joachim-Fechner-Platz 98/32,86452,Amberg,Deutschland,Sachsen-Anhalt,2003-11-02,Männlich,77,Monthly Donor
Dieter,Lorch,gnatzwillfried@example.net,Trappring 7991,42227,Rothenburg ob der Tauber,Deutschland,Niedersachsen,1949-11-02,Weiblich,78,
Daniela,Blümel,jjunken@example.com,Stefani-Gorlitz-Ring 79/53,32418,Hainichen,Deutschland,Hessen,1956-03-06,Weiblich,79,Monthly Donor
Necati,Ruppert,klemensmentzel@example.org,Segebahnstraße 8128,42392,Rathenow,Deutschland,Niedersachsen,1979-10-26,Weiblich,80,Monthly Donor
Rosalinde,Naser,finkeroberto@example.org,Nadia-Hermann-Straße 1562,80014,Auerbach,Deutschland,Sachsen,1954-08-12,Männlich,81,Monthly Donor
Dagobert,Löchel,lpieper@example.net,Langernstr. 465,41542,Nabburg,Deutschland,Berlin,1991-02-07,Männlich,82,Monthly Donor
Viviane,Buchholz,cjopich@example.net,Buchholzallee 67,08207,Wolfenbüttel,Deutschland,Hamburg,1975-01-31,Männlich,83,Monthly Donor
Christa-Maria,Wohlgemut,hedwig51@example.org,Pohlring 2,69740,Neustrelitz,Deutschland,Niedersachsen,1957-01-06,Weiblich,84,Past Donor
Ekrem,Reuter,ghamann@example.net,Sagerstraße 203,07909,Soest,Deutschland,Thüringen,1940-02-27,Männlich,85,Past Donor
Hansjörg,Thanel,marie62@example.org,Stumpfring 7-5,17428,Jena,Deutschland,Bremen,1967-10-20,Männlich,86,One Time Donor
Alexandre,Langern,teresahentschel@example.com,Buttestr. 5-1,85448,Berlin,Deutschland,Bayern,1934-12-20,Weiblich,87,
Heiner,Hofmann,adriane17@example.com,Heringplatz 171,90595,Celle,Deutschland,Rheinland-Pfalz,1944-02-11,Männlich,88,Monthly Donor
Irena,Lange,scarsten@example.org,Domenico-Ruppersberger-Platz 5-5,12834,München,Deutschland,Saarland,1951-07-12,Weiblich,89,Past Donor
Christine,Schleich,kreuselfreya@example.com,Arnim-Hofmann-Straße 407,74917,Göttingen,Deutschland,Mecklenburg-Vorpommern,1978-04-15,Weiblich,90,
Mariana,Meyer,izimmer@example.org,Klaus-Michael-Gehringer-Weg 16/10,62285,Tirschenreuth,Deutschland,Schleswig-Holstein,1932-10-30,Weiblich,91,Monthly Donor
Trudel,Noack,katharinekoch@example.org,Jakob-Ziegert-Gasse 51-58,01219,Jena,Deutschland,Niedersachsen,1962-06-20,Männlich,92,
Edeltrud,Förster,eigenwilligthomas@example.com,Weimerstr. 70-49,55091,Moers,Deutschland,Schleswig-Holstein,1948-12-05,Nichtbinär / Nonbinary,93,Past Donor
Ulf,Jockel,misicherkilian@example.net,Gordon-Hesse-Allee 89/24,86710,Bersenbrück,Deutschland,Schleswig-Holstein,1986-07-08,Männlich,94,Past Donor
Milica,Biggen,zbigniewchristoph@example.com,Catherine-Bolnbach-Weg 4,61215,Scheinfeld,Deutschland,Bremen,1958-01-03,Männlich,95,Monthly Donor
Joerg,Hornig,jockelortrud@example.org,Justine-Scheibe-Ring 7,23512,Prenzlau,Deutschland,Saarland,1987-07-23,Männlich,96,Past Donor
Danilo,Gude,suzanneneureuther@example.net,Mahmut-Scheuermann-Platz 4,62156,Eichstätt,Deutschland,Brandenburg,1983-07-02,Weiblich,97,Past Donor
Kay-Uwe,Kusch,arndtbluemel@example.org,Häringring 2953,91330,Nauen,Deutschland,Baden-Württemberg,1961-07-05,Weiblich,98,Monthly Donor
Fanny,Rudolph,klara54@example.net,Metzstr. 1165,47127,Coburg,Deutschland,Schleswig-Holstein,1932-12-10,Weiblich,99,Monthly Donor
Apollonia,Köhler,hoevelgertraud@example.com,Emanuel-Etzler-Gasse 10,97982,Freising,Deutschland,Brandenburg,1950-02-24,Nichtbinär / Nonbinary,100,One Time Donor
Fred,Ladeck,gunarlachmann@example.com,Halina-Hornig-Platz 29,21806,Warendorf,Deutschland,Thüringen,2003-04-30,Weiblich,101,
Thilo,Thies,ihaering@example.org,Käthi-Cichorius-Gasse 779,45075,Wittstock,Deutschland,Nordrhein-Westfalen,1929-06-08,Keine Angabe,102,One Time Donor
Monja,Stahr,obinner@example.com,Kohlweg 6,48348,Wunsiedel,Deutschland,Bremen,1960-10-23,Weiblich,103,One Time Donor
Kemal,Röhricht,adrianebolzmann@example.org,Raymund-Hoffmann-Platz 9,66241,Dresden,Deutschland,Sachsen,1993-11-01,Weiblich,104,
Otmar,Beier,norman10@example.net,Weimerweg 366,08614,Eckernförde,Deutschland,Bayern,1971-05-19,Männlich,105,Past Donor
Alwin,Mangold,oheinrich@example.org,Sylvie-Heß-Gasse 5/7,46934,Sondershausen,Deutschland,Sachsen,1974-10-01,Weiblich,106,Past Donor
Irmtraut,Heuser,reza64@example.com,Baumstr. 74-72,86692,Luckau,Deutschland,Bayern,1949-07-27,Weiblich,107,
Peggy,Schenk,xbeer@example.com,Sorgatzstraße 86,95708,Büsingen am Hochrhein,Deutschland,Thüringen,1992-07-24,Männlich,108,Past Donor
Nurten,Rose,lorenzhoefig@example.org,Hillergasse 3/1,45030,Dresden,Deutschland,Sachsen-Anhalt,1993-08-19,Männlich,109,Past Donor
Gebhard,Fröhlich,ivanstriebitz@example.com,Schinkeallee 95,27200,Mittweida,Deutschland,Bremen,1939-12-31,Weiblich,110,One Time Donor
Otto,Pruschke,kuno50@example.org,Dörschnerallee 53,92209,Kamenz,Deutschland,Rheinland-Pfalz,2007-02-13,Weiblich,111,Past Donor
Leszek,Kallert,sylwiahiller@example.org,Schwitalstraße 7,79732,Lobenstein,Deutschland,Sachsen,1931-11-29,Nichtbinär / Nonbinary,112,
Norbert,Ehlert,gundulaschueler@example.net,Mohamed-Seifert-Allee 9234,05599,Grevesmühlen,Deutschland,Bayern,1998-11-01,Weiblich,113,
Vitus,Briemer,ruthildmargraf@example.com,Etzoldstraße 7,00767,Mittweida,Deutschland,Bayern,1936-02-14,Weiblich,114,One Time Donor
Ingetraud,Meyer,erhard47@example.com,Jäkelplatz 5/5,47934,Weimar,Deutschland,Sachsen-Anhalt,1958-05-30,Männlich,115,Monthly Donor
Ben,Bähr,aleksandra74@example.net,Pohlplatz 693,27376,Hannover,Deutschland,Sachsen-Anhalt,1962-01-11,Männlich,116,One Time Donor
Wilfried,Schwital,roskothanna-lena@example.org,Claudia-Hamann-Allee 5,53189,Wesel,Deutschland,Bremen,1993-06-04,Männlich,117,One Time Donor
Monika,Zahn,carstenmarta@example.net,Alexei-Mohaupt-Allee 2-6,03600,Stuttgart,Deutschland,Hessen,1986-07-25,Weiblich,118,
Alexei,Zahn,vdietz@example.net,Liebeltweg 7/9,42968,Berlin,Deutschland,Rheinland-Pfalz,1959-12-16,Männlich,119,
Hubertus,Heintze,ugnatz@example.net,Krausstraße 23/30,00101,Hofgeismar,Deutschland,Hamburg,1972-04-12,Weiblich,120,Monthly Donor
Svetlana,Barth,wencke86@example.net,Sylke-Gnatz-Gasse 29/68,23645,Neubrandenburg,Deutschland,Saarland,1985-12-15,Männlich,121,
Eugen,Misicher,nathalie74@example.com,Grein Grothstraße 22-45,83240,Kulmbach,Deutschland,Niedersachsen,1936-08-09,Weiblich,122,One Time Donor
Jurij,Beier,kgnatz@example.net,Pohlweg 6,12275,Füssen,Deutschland,Sachsen,1952-05-17,Weiblich,123,Past Donor
Marlis,Jessel,antonino09@example.org,Sahin-Scheibe-Weg 86,22532,Paderborn,Deutschland,Mecklenburg-Vorpommern,1964-05-13,Männlich,124,One Time Donor
Pascale,Naser,freudenbergerfaruk@example.org,Mariana-Bender-Ring 5058,83033,Calau,Deutschland,Hessen,1937-02-15,Männlich,125,One Time Donor
Kristiane,Neuschäfer,gabor26@example.com,Naserplatz 52/14,76325,Rothenburg ob der Tauber,Deutschland,Rheinland-Pfalz,1977-12-16,Weiblich,126,Past Donor
Gebhard,Reinhardt,escheel@example.net,Lübsstr. 33/34,21540,Siegen,Deutschland,Sachsen,1991-01-29,Weiblich,127,One Time Donor
Ernest,Schönland,beierjaroslav@example.org,Kadering 2347,39173,Badoberan,Deutschland,Brandenburg,1998-08-02,Keine Angabe,128,Monthly Donor
Hans Josef,Roht,paolodrub@example.net,Valeri-Naser-Allee 1,62069,Lüdinghausen,Deutschland,Berlin,1990-05-27,Weiblich,129,Past Donor
Lene,Börner,samira64@example.com,Heßgasse 73,58574,Fürstenfeldbruck,Deutschland,Rheinland-Pfalz,2005-10-21,Männlich,130,One Time Donor
Marietta,Weitzel,qbloch@example.com,Köhlerstraße 1817,29819,Hohenstein-Ernstthal,Deutschland,Niedersachsen,1966-10-08,Männlich,131,
Heinz-Josef,Kambs,thomas29@example.org,Adem-Trapp-Straße 84/14,43192,Worbis,Deutschland,Berlin,1995-09-21,Männlich,132,One Time Donor
Evangelia,Wähner,baldurmende@example.org,Heidemarie-Schaaf-Ring 80,20176,Witzenhausen,Deutschland,Bayern,1985-01-17,Männlich,133,Monthly Donor
Augusta,Ritter,lenehesse@example.net,Petros-Hande-Straße 22-50,95442,Kelheim,Deutschland,Brandenburg,1946-12-15,Weiblich,134,Monthly Donor
Inge,Nohlmans,seifertleif@example.com,Loosplatz 5/9,41209,Dessau,Deutschland,Rheinland-Pfalz,1988-12-17,Männlich,135,Past Donor
Suzanne,Schulz,torbenstaude@example.com,Lina-Knappe-Straße 53-11,26865,Gerolzhofen,Deutschland,Mecklenburg-Vorpommern,1955-09-19,Männlich,136,Monthly Donor
Caterina,Hornich,hartungtomasz@example.org,Hans-Dieter-Mentzel-Ring 20/78,44547,Görlitz,Deutschland,Mecklenburg-Vorpommern,1979-08-12,Weiblich,137,One Time Donor
Julius,Wilmsen,ischinke@example.com,Reiner-Beyer-Platz 0,87682,Wolfratshausen,Deutschland,Baden-Württemberg,1955-12-19,Männlich,138,Monthly Donor
Wenke,Junken,wiebke24@example.org,Krausegasse 20,75597,Bad Freienwalde,Deutschland,Hamburg,1975-02-21,Nichtbinär / Nonbinary,139,
Ahmed,Häring,veli52@example.org,Patbergplatz 3,40711,Celle,Deutschland,Berlin,1949-01-15,Weiblich,140,Monthly Donor
Nadeschda,Scholl,miageisler@example.com,Oestrovskyplatz 32,06210,Neunburg vorm Wald,Deutschland,Bayern,1934-07-30,Weiblich,141,Past Donor
Dörthe,Nohlmans,hans-bernd00@example.com,Marius-Stiffel-Gasse 4-3,81954,Berlin,Deutschland,Sachsen-Anhalt,1953-07-30,Keine Angabe,142,
Gerta,Losekann,zeigenwillig@example.org,Annamaria-Mitschke-Allee 526,31828,Geldern,Deutschland,Bremen,1962-07-18,Weiblich,143,One Time Donor
Katarzyna,Steckel,haufferheiner@example.com,Mudeplatz 45,28295,Leipziger Land,Deutschland,Nordrhein-Westfalen,1958-04-05,Männlich,144,
Rudolf,Nette,mentzelhilda@example.net,Andrei-Scheel-Straße 4/4,75851,Ochsenfurt,Deutschland,Bayern,1986-02-28,Männlich,145,Monthly Donor
Darius,Conradi,utaetzold@example.com,Dörschnerallee 84,61803,Gütersloh,Deutschland,Thüringen,1991-09-23,Männlich,146,One Time Donor
Laszlo,Weller,michaele51@example.com,Agnieszka-Bohnbach-Straße 1018,10839,Hannover,Deutschland,Bayern,1992-10-22,Männlich,147,Past Donor
Sönke,Pärtzelt,ghertrampf@example.net,Christos-Hamann-Weg 19/98,30767,Roding,Deutschland,Hessen,1946-02-23,Männlich,148,One Time Donor
Marianna,Johann,kdrub@example.org,Konstantin-Schüler-Weg 2/1,45544,Lichtenfels,Deutschland,Thüringen,1991-12-26,Männlich,149,
Ron,Ernst,karl-dieter25@example.net,Ernst-Winkler-Platz 52-37,08077,Eisenach,Deutschland,Brandenburg,2004-09-23,Weiblich,150,
Inna,Cichorius,sibillegumprich@example.net,Hövelweg 48-34,06263,Wolgast,Deutschland,Sachsen,1940-09-21,Männlich,151,Monthly Donor
Aleksandr,Winkler,helmut21@example.com,Ludwig-Mohaupt-Ring 5/2,85227,Grimmen,Deutschland,Mecklenburg-Vorpommern,1998-03-12,Nichtbinär / Nonbinary,152,One Time Donor
Burckhard,Herrmann,hannchengotthard@example.net,Loosstraße 69/36,25661,Garmisch-Partenkirchen,Deutschland,Bayern,1936-06-18,Weiblich,153,Past Donor
Galina,Sager,leszekschwital@example.net,Holtring 55,65955,Ribnitz-Damgarten,Deutschland,Mecklenburg-Vorpommern,1932-11-18,Männlich,154,One Time Donor
Gerolf,Söding,fetzler@example.net,Kaulplatz 1/1,53337,Moers,Deutschland,Schleswig-Holstein,1951-06-25,Nichtbinär / Nonbinary,155,One Time Donor
Tobias,Gierschner,bachmannbernd@example.com,Hans-Michael-Sontag-Platz 9/2,38751,Bad Mergentheim,Deutschland,Brandenburg,1989-10-25,Weiblich,156,Past Donor
Annelise,Wende,zkoch@example.net,Heidemarie-Sölzer-Platz 52/22,54026,Norden,Deutschland,Mecklenburg-Vorpommern,1971-09-06,Männlich,157,One Time Donor
Albertine,Klingelhöfer,tmielcarek@example.net,Mentzelring 5/7,08243,Lörrach,Deutschland,Rheinland-Pfalz,1952-10-27,Weiblich,158,Past Donor
Mehdi,Täsche,tilly34@example.org,Zorbachstr. 58-26,21779,Schwerin,Deutschland,Schleswig-Holstein,1935-04-23,Weiblich,159,Monthly Donor
Oscar,Mentzel,austermuehlesigrun@example.com,Gundula-Nohlmans-Allee 83-42,39063,Hildesheim,Deutschland,Hessen,1946-10-23,Weiblich,160,Past Donor
Vassilios,Römer,jaekelorhan@example.com,Weihmannallee 97,59909,Eilenburg,Deutschland,Mecklenburg-Vorpommern,1997-04-11,Männlich,161,
Salvatore,Drewes,christel09@example.net,Klingelhöferring 8/6,82199,Kaiserslautern,Deutschland,Nordrhein-Westfalen,1937-01-27,Weiblich,162,
Karin,Lorch,salzsigfried@example.com,Ludwig-Reichmann-Allee 64/14,07825,Finsterwalde,Deutschland,Brandenburg,1937-08-05,Männlich,163,Past Donor
Lilian,Heser,thaddaeusullrich@example.org,Mühleweg 1-6,56826,Hohenstein-Ernstthal,Deutschland,Bremen,1998-01-28,Weiblich,164,
Adriane,Pechel,fatih17@example.net,Cordula-Ullmann-Gasse 69/15,24824,Kleve,Deutschland,Hessen,1994-02-08,Weiblich,165,Monthly Donor
Doris,Barth,engindoehn@example.org,Filiz-Ladeck-Weg 80,05321,Miesbach,Deutschland,Bremen,1952-11-30,Männlich,166,Past Donor
Tanja,Ritter,arosemann@example.com,Beyergasse 34-75,73390,München,Deutschland,Bayern,1955-08-27,Männlich,167,One Time Donor
Krzysztof,Lorch,kreszentialindner@example.org,Sontagallee 2441,08619,Prenzlau,Deutschland,Thüringen,1930-10-05,Männlich,168,One Time Donor
Karen,Hering,uroehrdanz@example.org,Marion-Löchel-Ring 667,83048,Senftenberg,Deutschland,Thüringen,1995-08-01,Weiblich,169,
Martin,Putz,beerjuri@example.net,Scheuermannstr. 3/3,55798,Plauen,Deutschland,Mecklenburg-Vorpommern,1998-08-22,Männlich,170,
Dagmar,Kaul,roehrdanzkatherina@example.com,Udo-Häring-Gasse 796,31006,Coburg,Deutschland,Brandenburg,1970-11-11,Männlich,171,Past Donor
Hedwig,Dörschner,vbien@example.com,Anne-Katrin-Otto-Ring 3-1,39487,Aachen,Deutschland,Hamburg,1943-01-08,Männlich,172,
Mirella,Wulf,muehlelissy@example.net,Hellmut-Geisel-Straße 7/7,58137,Ahaus,Deutschland,Niedersachsen,1984-02-28,Weiblich,173,Past Donor
